 TITLE = "2D Burgers Equation"
 VARIABLES = "X" "Z" "u" "w"
  ZONE F=POINT, I=         100 , J=           50
   0.0000000000000000       -20.000000000000000       -1.7571875328296199E-014   0.0000000000000000     
  0.34534632929202291       -20.000000000000000       -2.7802531916716765E-014   0.0000000000000000     
   1.0000000000000000       -20.000000000000000       -4.0187058426844504E-014   0.0000000000000000     
   1.6546536707079771       -20.000000000000000       -4.2424532727885014E-014   0.0000000000000000     
   2.0000000000000000       -20.000000000000000       -3.9497541868157263E-014   0.0000000000000000     
   2.0000000000000000       -20.000000000000000       -3.9544739176229096E-014   0.0000000000000000     
   2.3453463292920231       -20.000000000000000       -3.4813304261109782E-014   0.0000000000000000     
   3.0000000000000000       -20.000000000000000       -2.4191910989480605E-014   0.0000000000000000     
   3.6546536707079769       -20.000000000000000       -1.3304740183616128E-014   0.0000000000000000     
   4.0000000000000000       -20.000000000000000       -9.4815890125357465E-015   0.0000000000000000     
   4.0000000000000000       -20.000000000000000       -9.4808394452525275E-015   0.0000000000000000     
   4.3453463292920231       -20.000000000000000       -5.6610883019536166E-015   0.0000000000000000     
   5.0000000000000000       -20.000000000000000        1.4589213657443706E-014   0.0000000000000000     
   5.6546536707079769       -20.000000000000000        6.0940795928694067E-014   0.0000000000000000     
   6.0000000000000000       -20.000000000000000        9.7228025354547729E-014   0.0000000000000000     
   6.0000000000000000       -20.000000000000000        9.7221675590251285E-014   0.0000000000000000     
   6.3453463292920231       -20.000000000000000        1.4065887386919640E-013   0.0000000000000000     
   7.0000000000000000       -20.000000000000000        1.7778486947591239E-013   0.0000000000000000     
   7.6546536707079769       -20.000000000000000        1.4988162544746959E-013   0.0000000000000000     
   8.0000000000000000       -20.000000000000000        1.0123616447580955E-013   0.0000000000000000     
   8.0000000000000000       -20.000000000000000        1.0124350855071799E-013   0.0000000000000000     
   8.3453463292920222       -20.000000000000000        5.2596938164690245E-014   0.0000000000000000     
   9.0000000000000000       -20.000000000000000        7.3005462650167283E-015   0.0000000000000000     
   9.6546536707079778       -20.000000000000000        3.5141033332975164E-014   0.0000000000000000     
   10.000000000000000       -20.000000000000000        8.4088358737399549E-014   0.0000000000000000     
   10.000000000000000       -20.000000000000000        8.4081647298069029E-014   0.0000000000000000     
   10.345346329292022       -20.000000000000000        1.3304989319909391E-013   0.0000000000000000     
   11.000000000000000       -20.000000000000000        1.8037988973339787E-013   0.0000000000000000     
   11.654653670707978       -20.000000000000000        1.6972461242079783E-013   0.0000000000000000     
   12.000000000000000       -20.000000000000000        1.4026276623187388E-013   0.0000000000000000     
   12.000000000000000       -20.000000000000000        1.4008427431157332E-013   0.0000000000000000     
   12.345346329292022       -20.000000000000000        1.1117586920979489E-013   0.0000000000000000     
   13.000000000000000       -20.000000000000000        6.2693210424683911E-014   0.0000000000000000     
   13.654653670707978       -20.000000000000000        2.0147647610647769E-014   0.0000000000000000     
   14.000000000000000       -20.000000000000000        4.1216751323919945E-016   0.0000000000000000     
   14.000000000000000       -20.000000000000000        4.1280128555789248E-016   0.0000000000000000     
   14.345346329292022       -20.000000000000000       -1.9369561361821474E-014   0.0000000000000000     
   15.000000000000000       -20.000000000000000       -4.0559619582123066E-014   0.0000000000000000     
   15.654653670707978       -20.000000000000000       -4.4823543548093411E-014   0.0000000000000000     
   16.000000000000000       -20.000000000000000       -4.1205445558336571E-014   0.0000000000000000     
   16.000000000000000       -20.000000000000000       -4.1256599021316668E-014   0.0000000000000000     
   16.345346329292024       -20.000000000000000       -4.0704599462610670E-014   0.0000000000000000     
   17.000000000000000       -20.000000000000000       -4.0614750189890173E-014   0.0000000000000000     
   17.654653670707976       -20.000000000000000       -4.1431502846309361E-014   0.0000000000000000     
   18.000000000000000       -20.000000000000000       -4.1722990926592923E-014   0.0000000000000000     
   18.000000000000000       -20.000000000000000       -4.1681966117901123E-014   0.0000000000000000     
   18.345346329292024       -20.000000000000000       -4.1338638990924549E-014   0.0000000000000000     
   19.000000000000000       -20.000000000000000       -4.1330398724838049E-014   0.0000000000000000     
   19.654653670707976       -20.000000000000000       -4.1927383755709987E-014   0.0000000000000000     
   20.000000000000000       -20.000000000000000       -4.2606398260126018E-014   0.0000000000000000     
   20.000000000000000       -20.000000000000000       -4.2619324167434958E-014   0.0000000000000000     
   20.345346329292024       -20.000000000000000       -4.5251020153522312E-014   0.0000000000000000     
   21.000000000000000       -20.000000000000000       -4.2819291156331446E-014   0.0000000000000000     
   21.654653670707976       -20.000000000000000       -3.0685183359291769E-014   0.0000000000000000     
   22.000000000000000       -20.000000000000000       -2.0367296371766097E-014   0.0000000000000000     
   22.000000000000000       -20.000000000000000       -2.0369661015419397E-014   0.0000000000000000     
   22.345346329292024       -20.000000000000000       -1.0061305352711359E-014   0.0000000000000000     
   23.000000000000000       -20.000000000000000       -1.1356829825917608E-014   0.0000000000000000     
   23.654653670707976       -20.000000000000000       -2.4876899571528716E-014   0.0000000000000000     
   24.000000000000000       -20.000000000000000       -3.4411269875804478E-014   0.0000000000000000     
   24.000000000000000       -20.000000000000000       -3.4443298275118733E-014   0.0000000000000000     
   24.345346329292024       -20.000000000000000       -2.1304979334708805E-014   0.0000000000000000     
   25.000000000000000       -20.000000000000000       -4.9644166498406912E-015   0.0000000000000000     
   25.654653670707976       -20.000000000000000       -6.2722980778173932E-015   0.0000000000000000     
   26.000000000000000       -20.000000000000000       -1.8976408703784729E-014   0.0000000000000000     
   26.000000000000000       -20.000000000000000       -1.8973742296567242E-014   0.0000000000000000     
   26.345346329292024       -20.000000000000000       -3.1685107783102251E-014   0.0000000000000000     
   27.000000000000000       -20.000000000000000       -4.3428719520118362E-014   0.0000000000000000     
   27.654653670707976       -20.000000000000000       -4.1143314175452749E-014   0.0000000000000000     
   28.000000000000000       -20.000000000000000       -3.4550451578136382E-014   0.0000000000000000     
   28.000000000000000       -20.000000000000000       -3.4564787233944025E-014   0.0000000000000000     
   28.345346329292024       -20.000000000000000       -2.5500443195920274E-014   0.0000000000000000     
   29.000000000000000       -20.000000000000000       -1.2415464196194158E-014   0.0000000000000000     
